Order_ID,Date,Region,Category,Payment_Method,Units_Sold,Unit_Price,Discount_Pct,Customer_Age,Rating,Revenue
ORD-1000,2023-01-01,East,Electronics,UPI,45.0,344.66,13.2,,2.0,13462.42
ORD-1001,2023-01-02,West,Electronics,Net Banking,13.0,231.45,12.1,52.0,,2644.78
ORD-1002,2023-01-03,North,Furniture,Net Banking,4.0,359.75,17.2,46.0,1.2,1191.49
ORD-1003,2023-01-04,East,Clothing,Cash,1.0,450.84,24.1,,4.7,342.19
ORD-1004,2023-01-05,East,Sports,Credit Card,49.0,315.81,16.2,50.0,2.4,12967.79
ORD-1005,2023-01-06,West,Groceries,UPI,40.0,274.49,19.8,24.0,1.4,8805.64
ORD-1006,2023-01-07,,Clothing,Net Banking,32.0,224.98,22.1,29.0,2.9,5608.3
ORD-1007,2023-01-08,North,Groceries,Net Banking,34.0,292.97,15.6,66.0,2.0,8407.07
ORD-1008,2023-01-09,East,Furniture,UPI,,184.13,12.8,47.0,2.1,100000.0
ORD-1009,2023-01-10,South,Furniture,Cash,31.0,201.83,26.3,38.0,2.2,4611.21
ORD-1010,2023-01-11,East,Electronics,Net Banking,8.0,270.61,12.5,48.0,4.2,1894.27
ORD-1011,2023-01-12,East,Sports,Credit Card,39.0,42.64,13.9,41.0,3.2,1431.81
ORD-1012,2023-01-13,East,Groceries,Net Banking,26.0,122.22,29.7,37.0,2.2,2233.94
ORD-1013,2023-01-14,East,Clothing,Credit Card,34.0,,0.0,54.0,3.4,9384.0
ORD-1014,2023-01-15,West,Furniture,UPI,3.0,221.45,5.6,21.0,,627.15
ORD-1015,2023-01-16,North,Electronics,Credit Card,12.0,173.08,11.5,45.0,2.1,1838.11
ORD-1016,2023-01-17,West,Electronics,UPI,1.0,367.97,28.0,61.0,2.7,264.94
ORD-1017,2023-01-18,West,Groceries,Credit Card,44.0,349.92,2.1,37.0,1.5,15073.15
ORD-1018,not-a-date,West,Furniture,UPI,5.0,91.7,0.3,41.0,1.7,457.12
ORD-1019,2023-01-20,East,Sports,Credit Card,30.0,440.53,1.6,67.0,3.7,13004.45
ORD-1020,2023-01-21,South,Furniture,Cash,30.0,252.76,2.7,66.0,1.7,7378.06
ORD-1021,2023-01-22,North,Groceries,Credit Card,17.0,373.32,1.1,68.0,3.1,6276.63
ORD-1022,2023-01-23,South,Groceries,Credit Card,48.0,290.84,14.4,49.0,3.8,11950.03
ORD-1023,2023-01-24,West,Furniture,Cash,47.0,498.87,17.4,58.0,1.4,19367.13
ORD-1024,2023-01-25,West,Groceries,Net Banking,23.0,378.68,8.2,53.0,3.3,7995.45
ORD-1025,2023-01-26,South,Furniture,Net Banking,15.0,356.42,11.9,51.0,2.0,4710.09
ORD-1026,2023-01-27,South,Clothing,Credit Card,37.0,391.5,2.8,53.0,4.9,14079.91
ORD-1027,2023-01-28,South,Furniture,Cash,21.0,80.13,10.1,19.0,2.9,1512.77
ORD-1028,2023-01-29,West,Furniture,Credit Card,14.0,110.23,15.7,32.0,4.2,1300.93
ORD-1029,2023-01-30,West,Groceries,UPI,2.0,359.89,22.0,51.0,3.2,561.43
ORD-1030,2023-01-31,North,Groceries,UPI,11.0,252.05,0.1,,1.2,2769.78
ORD-1031,2023-02-01,North,Electronics,Credit Card,39.0,379.77,14.0,23.0,3.5,12737.49
ORD-1032,2023-02-02,West,Electronics,Net Banking,38.0,60.43,8.9,56.0,4.8,2091.97
ORD-1033,2023-02-03,South,Clothing,Net Banking,34.0,272.88,25.6,59.0,3.4,6902.77
